company,code,capitalication
"ビックカメラ","3048","299999281728"
"西日本フィナンシャルホールディングス","7189","298914535140"
"パルグループホールディングス","2726","297991680000"
"ちゅうぎんフィナンシャルグループ","5832","297389666479.5"
"ビジョナル","4194","296752509900"
"ADEKA","4401","292626160440"
"北越コーポレーション","3865","292610645384"
"日本触媒","4114","291486000000"
"日本電子","6951","289614336000"
"牧野フライス製作所","6135","288768555600"
"戸田建設","1860","288261581546.39996"
"太陽誘電","6976","286675985921.5"
"みずほリース","8425","284927630400"
"マブチモーター","6592","283306177692"
"Sansan","4443","282714150516"
"不二製油グループ本社","2607","281973413260"
"ダイワボウホールディングス","3107","280638189750"
"リログループ","8876","279790121700"
"丸一鋼管","5463","279132000000"
"JVCケンウッド","6632","278964341901"
"DOWAホールディングス","5714","278641480970"
"西松建設","1820","278402242016"
"ショーボンドホールディングス","1414","277654165740"
"GMOインターネットグループ","9449","277253861422.5"
"ハウス食品グループ本社","2810","277114580310"
"大栄環境","9336","276103975600"
"あおぞら銀行","8304","275555199231"
"ガンホー・オンライン・エンターテイメント","3765","275379670896"
"エイチ・ツー・オー リテイリング","8242","275130067710"
"ペプチドリーム","4587","274711975200"
"メルカリ","4385","274701498927"
"南海電気鉄道","9044","273073089968"
"NSD","9759","271416000000"
"クリエイト・レストランツ・ホールディングス","3387","270486954964"
"宝ホールディングス","2531","270038046867"
"カゴメ","2811","267152818464"
"PALTAC","8283","266606869575"
"スルガ銀行","8358","265799438960"
"ケーズホールディングス","8282","265715000000"
"ニッスイ","1332","265690707560.8"
"三井金属鉱業","5706","265504886424"
"第四北越フィナンシャルグループ","7327","265182869016"
"サワイグループホールディングス","4887","264725479246.5"
"イオンフィナンシャルサービス","8570","261804275136"
"JMDC","4483","261337632000"
"日本新薬","4516","260422251188"
"スカパーJSATホールディングス","9412","259488384856"
"ニッコンホールディングス","9072","258018759360"
"大同特殊鋼","5471","255804627487.5"
"森永乳業","2264","255790500966"
"帝人","3401","255162328323"
"サイゼリヤ","7581","254043582120"
"ジーエス・ユアサ コーポレーション","6674","252622801630"
"ジャパンエレベーターサービスホールディングス","6544","252238310400"
"竹内製作所","6432","251364870000"
"日本航空電子工業","6807","251155396368"
"フクダ電子","6960","250264599000"
"四国電力","9507","249967719309"
"ニプロ","8086","249559271684.5"
"太陽ホールディングス","4626","246281836775"
"ほくほくフィナンシャルグループ","8377","245852166254"
"日本瓦斯","8174","245106491799"
"UBE","4208","243941645779"
"三谷商事","8066","243617352440"
"森永製菓","2201","243143875905"
"相鉄ホールディングス","9003","241781436786.5"
"武蔵精密工業","7220","241430738285"
"京成電鉄","9009","240858425445"
"UACJ","5741","240432760175"
"ナカニシ","7716","239795913600"
"日東紡績","3110","239541126200"
"マネックスグループ","8698","239116961700"
"カネカ","4118","238260000000"
"大阪ソーダ","4046","236578350450"
"オークマ","6103","236286078000"
"テイ・エス テック","7313","233852000000"
"エフピコ","7947","232224892304"
"東京製鐵","5423","231355859508"
"平和","6412","230958164840"
"メイコー","6787","229972485600"
"FPG","7148","229735684000"
"レンゴー","3941","229638667768.80002"
"テレビ朝日ホールディングス","9409","229321777000"
"美津濃","8022","228572889800"
"三井海洋開発","6269","228273302000"
"リンテック","7966","226308471740"
"メイテックグループホールディングス","9744","224562000000"
"センコーグループホールディングス","9069","223982527296"
"FUJI","6134","223869647298"
"共立メンテナンス","9616","221748850972"
"シチズン時計","7762","220908000000"
"SWCC","5805","220412056150"
"サン電子","6736","219670711200"
"住友ファーマ","4506","218845084700"
"ノジマ","7419","218493764160"
"日本M&Aセンターホールディングス","2127","218333750400"
"エクセディ","7278","217942905960"
"NIPPON EXPRESSホールディングス","9147","217845836512.5"
"マネーフォワード","3994","217607380320"
"伊藤ハム米久ホールディングス","2296","217527776635"
"ウシオ電機","6925","217042500000"
"シップヘルスケアホールディングス","3360","216962499600"
"アイカ工業","4206","216830850112"
"ジャストシステム","4686","215153080000"
"日本化薬","4272","214749246415"
"イズミ","8273","214314780600"
"MIXI","2121","214261850100"
"滋賀銀行","8366","213953026430"
"沖縄セルラー電話","9436","211163589780"
"兼松","8020","210701253687"
"三菱食品","7451","208760874000"
"住友倉庫","9303","208737427710"
"松井証券","8628","208708085110"
