会社,証券コード,時価総額,売上高 (通期),営業利益 (通期),売上成長率（％） (通期),営業利益率 (%) (通期)
"SRSホールディングス","8163","46861307920","60228000000","2157000000","10.499913585941272","3.581390715281928"
"ネットプロテクションズホールディングス","7383","46715656800","20313000000","-627000000","5.085359544749096","-3.086693250627677"
"極東証券","8706","46513401000","7730000000","2951000000","79.14252607184241","38.175937904269084"
"中山製鋼所","5408","46489411672","184445000000","12327000000","-2.158460379600456","6.683293122611077"
"東洋証券","8614","46472994596","12023000000","1153000000","44.14338808296367","9.589952590867505"
"ミマキエンジニアリング","6638","46265760000","75631000000","5480000000","7.115423606935806","7.245706125794977"
"KPPグループホールディングス","9274","46217221448","644435000000","15819000000","-2.3074147737608683","2.4547083879677545"
"川田テクノロジーズ","3443","46185593370","129127000000","8734000000","9.349965279542033","6.763883618453151"
"キーコーヒー","2594","46013292000","73800000000","764000000","16.591361496413782","1.035230352303523"
"神奈川中央交通","9081","45990000000","117067000000","7516000000","12.710730274876042","6.420255067610856"
"アルファシステムズ","4719","45951348000","36383278000","4348562000","2.347208091440976","11.952089638542189"
"ベクトル","6058","45881930142","59212000000","6939000000","7.22","11.718908329392692"
"澁澤倉庫","9304","45729329735","73417000000","4271000000","-6.479924589829821","5.8174537232521075"
"日本国土開発","1887","45694950000","135701000000","-9404000000","-12","-6.929941562700348"
"琉球銀行","8399","45608761260","65951000000","","9.748223586773832",""
"ダイキョーニシカワ","4246","45520182400","159019000000","8690000000","9.108436710945213","5.464755783900037"
"古河電池","6937","45395200000","75455000000","3233000000","8.509016652765396","4.284672983897687"
"エンプラス","6961","45257971050","37805000000","4645000000","-10.499526515151516","12.286734558920779"
"大紀アルミニウム工業所","5702","45112628990","262671000000","4619000000","-3.7951456417356155","1.7584735277209895"
"ヨンドシーホールディングス","8008","45110334024","39457000000","2096000000","-0.13","5.312111919304559"
"グローブライド","7990","45000000000","126008000000","7496000000","-6.37153280874999","5.948828645800266"
"若築建設","1888","44664400885","94917000000","6976000000","12.991048045331183","7.34957910595573"
"新日本空調","1952","44582165100","127978000000","9235000000","14.027834702496577","7.216084014439981"
"高圧ガス工業","4097","44573175852","93275000000","5737000000","2.605662409121095","6.150629857946932"
"山陽電気鉄道","9052","44460220618","39220000000","4326000000","0.7889394289825873","11.03008669046405"
"学研ホールディングス","9470","44365432608","185566000000","6880000000","13.07002364181433","3.707575741245702"
"ソラスト","6197","44244417331","135139000000","5517000000","3.090290491883323","4.082463241551292"
"福井銀行","8362","44160599601","55423000000","","0.9581580049911764",""
