5863,5168,5304,5382,5285,5204,5195,5019,4632
8775,8912,8496,8073,7985,7727,7324,6974,6507
24278,24534,24403,23818,22802,21322,20465,19524,17913
23176,21433,20861,20407,18610,17906,16933,15549,14187
598950,709326,792036,857335,918398,971297,1008130,1025098,1045986
177597,182168,186094,186587,182911,178923,174778,167324,160826
58772,59235,61040,61825,62025,63566,61547,59357,56490
87914,90304,92246,91468,88152,84848,82394,78011,73489
40886,40862,41275,42262,42030,41852,40793,39492,37422
40845,46730,49715,50897,53732,61993,67216,68662,73134
31170,32228,33731,35119,35431,35316,34354,33199,31336
36677,44862,50785,54436,58456,60625,61457,62745,63060
29822,32573,34910,36519,38091,40072,41407,43921,44187
102525,98086,98568,99182,98231,96832,93769,89316,83969
104888,97489,95801,95042,91852,88552,84947,80248,74932
32192,33901,36865,39280,40424,42778,43180,43235,42903
126057,126056,130266,133439,135208,138068,139313,138491,135147
14037,13884,13833,14175,14074,13915,13545,13318,12882
3712,3207,2926,2543,2208,2174,2034,1871,1694
16033,17525,19332,20305,20901,21995,22767,23335,23530
13337,13265,13370,13807,13632,13539,13166,12740,11995
26388,29563,32106,35416,37315,38749,39485,39809,39341
10344,10539,10636,10939,10797,10829,10872,10583,9978
22027,20893,20849,20598,19755,18941,17868,16792,15501
25141,25742,27822,29263,30301,33034,34770,35132,34845
14820,15869,17630,18236,18268,18815,18537,17713,16704
16004,16568,17246,17568,17431,17344,17059,16193,15085
14204,16164,16393,18106,19523,20668,21131,21068,20416
8031,9712,11201,12031,16321,25135,29848,32257,33994
18028,18584,18662,18768,18814,22856,24410,24509,24894
10072,9896,10172,10465,10426,10220,9768,9424,8927
4912,8067,13930,18053,24611,30224,35909,41593,47042
5028,5047,5200,5548,5885,6028,5992,5607,5334
8836,8616,8865,8794,8717,8463,8162,7856,7431
31693,31121,30996,30849,30184,29466,28330,27212,25527
20935,20958,21319,21362,20871,20170,19313,18410,17494
26722,26939,28152,28862,28164,27980,27395,26329,25190
17681,16945,16105,15246,14018,13044,11814,10723,10051
22943,22343,22243,21970,21401,20428,19860,18645,17429
257532,281408,304823,316550,322698,331597,336646,333109,323600
77011,75177,76028,73649,69516,67816,65237,62858,59084
124160,119716,120479,119088,115761,112600,109004,103652,98367
97856,95045,95529,94526,90098,88231,86288,82504,78946
50935,49063,47829,45891,42723,40517,38130,35637,32294
