jp,usd,us,capitalization_JP,capitalization_US,USD
6.7784E+11,45286948919 ,7.06476E+12,677839994576 ,7064764031364 ,45286948919 
6.77011E+11,44654346409 ,6.96608E+12,677010524394 ,6966078039804 ,44654346409 
6.76641E+11,44486056432 ,6.93982E+12,676641115560 ,6939824803392 ,44486056432 
6.74738E+11,43913588607 ,6.85052E+12,674737862400 ,6850519822692 ,43913588607 
6.68261E+11,43598668667 ,6.80139E+12,668261328640 ,6801392312052 ,43598668667 
6.65358E+11,43593906166 ,6.80065E+12,665357523616 ,6800649361896 ,43593906166 
6.6385E+11,43585204540 ,6.79929E+12,663850397715 ,6799291908240 ,43585204540 
6.63815E+11,42891064381 ,6.69101E+12,663815312152 ,6691006043436 ,42891064381 
6.61027E+11,42832099760 ,6.68181E+12,661026736930 ,6681807562560 ,42832099760 
6.56315E+11,42673444499 ,6.65706E+12,656314957392 ,6657057341844 ,42673444499 
6.5607E+11,42472409966 ,6.6257E+12,656069667979 ,6625695954696 ,42472409966 
6.54751E+11,42411556008 ,6.6162E+12,654750836900 ,6616202737248 ,42411556008 
6.54454E+11,42367560000 ,6.60934E+12,654454000000 ,6609339360000 ,42367560000 
6.54438E+11,42340605599 ,6.60513E+12,654438263109 ,6605134473444 ,42340605599 
6.42366E+11,42285371468 ,6.59652E+12,642366400000 ,6596517949008 ,42285371468 
6.42225E+11,42229653747 ,6.58783E+12,642224500498 ,6587825984532 ,42229653747 
6.40161E+11,41804237006 ,6.52146E+12,640161309255 ,6521460972936 ,41804237006 
6.39386E+11,41419785813 ,6.46149E+12,639385626748 ,6461486586828 ,41419785813 
6.35881E+11,41378050290 ,6.45498E+12,635880678291 ,6454975845240 ,41378050290 
6.35734E+11,41156244000 ,6.42037E+12,635733996874 ,6420374064000 ,41156244000 
6.35426E+11,40547452037 ,6.3254E+12,635425528986 ,6325402517772 ,40547452037 
6.33496E+11,40454131942 ,6.31084E+12,633496466370 ,6310844582952 ,40454131942 
6.31611E+11,39812530598 ,6.21075E+12,631610504020 ,6210754773288 ,39812530598 
6.30101E+11,39778148196 ,6.20539E+12,630101425404 ,6205391118576 ,39778148196 
6.30069E+11,39610542680 ,6.17924E+12,630069271461 ,6179244658080 ,39610542680 
6.22263E+11,39574512820 ,6.17362E+12,622263161910 ,6173623999920 ,39574512820 
6.21881E+11,39334222101 ,6.13614E+12,621880748426 ,6136138647756 ,39334222101 
6.19435E+11,39178448854 ,6.11184E+12,619435402320 ,6111838021224 ,39178448854 
6.17284E+11,38715416240 ,6.0396E+12,617283826500 ,6039604933440 ,38715416240 
6.11049E+11,38580085671 ,6.01849E+12,611048846420 ,6018493364676 ,38580085671 
6.08812E+11,38313409226 ,5.97689E+12,608812176000 ,5976891839256 ,38313409226 
6.07209E+11,37856873859 ,5.90567E+12,607208955656 ,5905672322004 ,37856873859 
6.06099E+11,37777038966 ,5.89322E+12,606099470280 ,5893218078696 ,37777038966 
6.05143E+11,37532940452 ,5.85514E+12,605142511662 ,5855138710512 ,37532940452 
6.02039E+11,37242740582 ,5.80987E+12,602038693115 ,5809867530792 ,37242740582 
6.01348E+11,37028781517 ,5.77649E+12,601348140394 ,5776489916652 ,37028781517 
5.99405E+11,36765549494 ,5.73543E+12,599405355000 ,5735425721064 ,36765549494 
5.94902E+11,36159963623 ,5.64095E+12,594901991372 ,5640954325188 ,36159963623 
5.93085E+11,35934861863 ,5.60584E+12,593085450000 ,5605838450628 ,35934861863 
5.93016E+11,35893891127 ,5.59945E+12,593016153686 ,5599447015812 ,35893891127 
5.92954E+11,35854495116 ,5.5933E+12,592954393671 ,5593301238096 ,35854495116 
5.91505E+11,35826686478 ,5.58896E+12,591505320000 ,5588963090568 ,35826686478 
5.85665E+11,35820840000 ,5.58805E+12,585665219250 ,5588051040000 ,35820840000 
5.85366E+11,35811201787 ,5.58655E+12,585365884200 ,5586547478772 ,35811201787 
5.84216E+11,35669746056 ,5.56448E+12,584216000000 ,5564480384736 ,35669746056 
5.82748E+11,35392549147 ,5.52124E+12,582748345388 ,5521237666932 ,35392549147 
5.74947E+11,35314694142 ,5.50909E+12,574947373966 ,5509092286152 ,35314694142 
5.74308E+11,35198683976 ,5.49099E+12,574308141600 ,5490994700256 ,35198683976 
5.59098E+11,34973284743 ,5.45583E+12,559098246144 ,5455832419908 ,34973284743 
5.58703E+11,34668418265 ,5.40827E+12,558702551935 ,5408273249340 ,34668418265 
5.45887E+11,34439787529 ,5.37261E+12,545887480075 ,5372606854524 ,34439787529 
5.4327E+11,34330964229 ,5.35563E+12,543270000000 ,5355630419724 ,34330964229 
5.40301E+11,34077528060 ,5.31609E+12,540301058000 ,5316094377360 ,34077528060 
5.36593E+11,34031857872 ,5.30897E+12,536592880161 ,5308969828032 ,34031857872 
5.36114E+11,33969755187 ,5.29928E+12,536114194122 ,5299281809172 ,33969755187 
5.34638E+11,33800761888 ,5.27292E+12,534637949664 ,5272918854528 ,33800761888 
5.34175E+11,33458972410 ,5.2196E+12,534175165600 ,5219599695960 ,33458972410 
5.33753E+11,33160213006 ,5.17299E+12,533752574652 ,5172993228936 ,33160213006 
5.32721E+11,33104125088 ,5.16424E+12,532721353919 ,5164243513728 ,33104125088 
5.31561E+11,33059366500 ,5.15726E+12,531561056632 ,5157261174000 ,33059366500 
5.29215E+11,32958439008 ,5.14152E+12,529214751611 ,5141516485248 ,32958439008 
5.29063E+11,32738701956 ,5.10724E+12,529062522792 ,5107237505136 ,32738701956 
5.28823E+11,32646647048 ,5.09288E+12,528822517665 ,5092876939488 ,32646647048 
5.23271E+11,32583266183 ,5.08299E+12,523270742878 ,5082989524548 ,32583266183 
5.20086E+11,32458958499 ,5.0636E+12,520086089373 ,5063597525844 ,32458958499 
5.16928E+11,32447499070 ,5.06181E+12,516928497855 ,5061809854920 ,32447499070 
5.1614E+11,32441501594 ,5.06087E+12,516140380000 ,5060874248664 ,32441501594 
5.14502E+11,32379005690 ,5.05112E+12,514502370150 ,5051124887640 ,32379005690 
5.14024E+11,32356225459 ,5.04757E+12,514024307712 ,5047571171604 ,32356225459 
5.12396E+11,32297622597 ,5.03843E+12,512396075489 ,5038429125132 ,32297622597 
5.11635E+11,32191162303 ,5.02182E+12,511635381012 ,5021821319268 ,32191162303 
5.04588E+11,32051741721 ,5.00007E+12,504588217910 ,5000071708476 ,32051741721 
5.01782E+11,31924725491 ,4.98026E+12,501782420832 ,4980257176596 ,31924725491 
4.98939E+11,31889944501 ,4.97483E+12,498938848784 ,4974831342156 ,31889944501 
4.93507E+11,31764130430 ,4.9552E+12,493507296405 ,4955204347080 ,31764130430 
4.92569E+11,31705010000 ,4.94598E+12,492569400084 ,4945981560000 ,31705010000 
4.91783E+11,31600384640 ,4.92966E+12,491783197290 ,4929660003840 ,31600384640 
4.89377E+11,31509483223 ,4.91548E+12,489377185584 ,4915479382788 ,31509483223 
4.86942E+11,31427846250 ,4.90274E+12,486942345072 ,4902744015000 ,31427846250 
4.85355E+11,31328580787 ,4.88726E+12,485354758839 ,4887258602772 ,31328580787 
4.8334E+11,31130483265 ,4.85636E+12,483340000000 ,4856355389340 ,31130483265 
4.81971E+11,31027630007 ,4.84031E+12,481971187980 ,4840310281092 ,31027630007 
4.80491E+11,30940011156 ,4.82664E+12,480491067906 ,4826641740336 ,30940011156 
4.75017E+11,30558666214 ,4.76715E+12,475016551174 ,4767151929384 ,30558666214 
4.736E+11,30527499600 ,4.76229E+12,473600195766 ,4762289937600 ,30527499600 
4.71095E+11,30487804397 ,4.7561E+12,471094581120 ,4756097485932 ,30487804397 
4.67892E+11,30275510330 ,4.72298E+12,467891867170 ,4722979611480 ,30275510330 
4.65997E+11,30182908065 ,4.70853E+12,465996758750 ,4708533658140 ,30182908065 
4.63258E+11,30078657153 ,4.69227E+12,463257784200 ,4692270515868 ,30078657153 
4.62871E+11,30051192306 ,4.68799E+12,462871442096 ,4687985999736 ,30051192306 
4.58163E+11,29835160752 ,4.65429E+12,458163000000 ,4654285077312 ,29835160752 
4.56398E+11,29828143114 ,4.65319E+12,456397635750 ,4653190325784 ,29828143114 
4.53058E+11,29731890454 ,4.63817E+12,453057624068 ,4638174910824 ,29731890454 
4.53E+11,29620339277 ,4.62077E+12,453000263400 ,4620772927212 ,29620339277 
4.50461E+11,29241252429 ,4.56164E+12,450461235113 ,4561635378924 ,29241252429 
4.49802E+11,29070763161 ,4.53504E+12,449802150000 ,4535039053116 ,29070763161 
